name,n_qubits,bandwidth,entanglement,n_samples,effective_rank,top_eigenvalue,off_diagonal_mean,rbf_correlation,rbf_gamma,geometric_difference,passes_conditioning,passes_distinctness,n_features,gram_seconds,selected_features
dense_angle,3,0.5,linear,300,0.006256511487322063,0.8239897946417152,0.8096815640509585,0.9866005886708389,0.6812920690579608,16.147348026626435,False,False,6,0.11173685401445255,V258;V257;card1;TransactionAmt;V246;V201
dense_angle,3,0.25,linear,300,0.004293224213345684,0.9461912437547947,0.9435757511789543,0.9720756788787507,0.6812920690579608,3.215797741924564,False,False,6,0.1014807490282692,V258;V257;card1;TransactionAmt;V246;V201
dense_angle,3,0.125,linear,300,0.003629334255592128,0.9856030320873369,0.9853175102392079,0.9638193598933541,0.6812920690579608,1.4402184062465686,False,False,6,0.11243882798589766,V258;V257;card1;TransactionAmt;V246;V201
dense_angle,3,0.0625,linear,300,0.0034223545699509812,0.9963397005268212,0.9963112870013904,0.9605759307682132,1.467799267622069,1.617845930825276,False,False,6,0.10822476696921512,V258;V257;card1;TransactionAmt;V246;V201
dense_angle,3,0.03125,linear,300,0.0033595779152195376,0.999082941943606,0.9990788605211179,0.9595099850041442,4.6415888336127775,1.6752713144707887,False,False,6,0.0998296050238423,V258;V257;card1;TransactionAmt;V246;V201
dense_angle,3,1.0,none,300,0.010844787138850795,0.49908329662011836,0.49091349139418167,0.8336688348526335,1.467799267622069,180.42102440466743,True,False,6,0.08580866595730186,V258;V257;card1;TransactionAmt;V246;V201
dense_angle,3,0.5,none,300,0.007627237803611224,0.7150054523156798,0.6921268428077073,0.9809795619304426,1.0,31.243847785031893,False,False,6,0.08474623301299289,V258;V257;card1;TransactionAmt;V246;V201
dense_angle,3,0.25,none,300,0.004873692817986545,0.904282449628278,0.8999626226942956,0.9684125697822206,1.467799267622069,4.273884151657526,False,False,6,0.08481818297877908,V258;V257;card1;TransactionAmt;V246;V201
dense_angle,3,0.125,none,300,0.0038176426143970823,0.9738102237979805,0.9733156268184198,0.951744836073013,3.1622776601683795,1.3584961930836061,False,False,6,0.12521760701201856,V258;V257;card1;TransactionAmt;V246;V201
dense_angle,3,0.0625,none,300,0.003481905324822232,0.993270013539645,0.9932177734342682,0.9463484049736497,10.0,1.5762500469370797,False,False,6,0.09611917502479628,V258;V257;card1;TransactionAmt;V246;V201
dense_angle,3,0.03125,none,300,0.0033778911705859044,0.9983049679333017,0.9982973622618013,0.9362040690652419,10.0,1.6632020688185813,False,False,6,0.09485323401167989,V258;V257;card1;TransactionAmt;V246;V201
zz,8,1.0,linear,300,0.13191331866281644,0.14219056020143736,0.09943065337016067,0.7015765420688415,10.0,327.65013023037267,True,False,8,0.3135928180417977,V258;V257;card1;TransactionAmt;V246;V201;V244;V243
zz,8,0.5,linear,300,0.06309470307301662,0.17512831804206525,0.15394187557009956,0.8178721501512575,10.0,317.75943095468307,True,False,8,0.3774219530168921,V258;V257;card1;TransactionAmt;V246;V201;V244;V243
